id,key,value
CAP-1,uafId,CAP-1
CAP-1,uafKind,Capability
CAP-1,registry.kind,area
CAP-1,registry.owner,plan-04
CAP-1.1,uafId,CAP-1.1
CAP-1.1,uafKind,Capability
CAP-1.1,registry.parent,CAP-1
CAP-1.2,uafId,CAP-1.2
CAP-1.2,uafKind,Capability
CAP-1.2,registry.parent,CAP-1
CAP-1.3,uafId,CAP-1.3
CAP-1.3,uafKind,Capability
CAP-1.3,registry.parent,CAP-1
CAP-1.4,uafId,CAP-1.4
CAP-1.4,uafKind,Capability
CAP-1.4,registry.parent,CAP-1
CAP-1.5,uafId,CAP-1.5
CAP-1.5,uafKind,Capability
CAP-1.5,registry.parent,CAP-1
CAP-1.6,uafId,CAP-1.6
CAP-1.6,uafKind,Capability
CAP-1.6,registry.parent,CAP-1
CAP-1.6,registry.coverage,verification-table
CAP-1.7,uafId,CAP-1.7
CAP-1.7,uafKind,Capability
CAP-1.7,registry.parent,CAP-1
CAP-2,uafId,CAP-2
CAP-2,uafKind,Capability
CAP-2,registry.kind,area
CAP-2,registry.owner,plan-04
CAP-2.1,uafId,CAP-2.1
CAP-2.1,uafKind,Capability
CAP-2.1,registry.parent,CAP-2
CAP-2.2,uafId,CAP-2.2
CAP-2.2,uafKind,Capability
CAP-2.2,registry.parent,CAP-2
CAP-2.3,uafId,CAP-2.3
CAP-2.3,uafKind,Capability
CAP-2.3,registry.parent,CAP-2
CAP-2.3,registry.coverage,I2
CAP-2.4,uafId,CAP-2.4
CAP-2.4,uafKind,Capability
CAP-2.4,registry.parent,CAP-2
CAP-2.4,registry.coverage,GAP-015
CAP-2.5,uafId,CAP-2.5
CAP-2.5,uafKind,Capability
CAP-2.5,registry.parent,CAP-2
CAP-2.6,uafId,CAP-2.6
CAP-2.6,uafKind,Capability
CAP-2.6,registry.parent,CAP-2
CAP-2.7,uafId,CAP-2.7
CAP-2.7,uafKind,Capability
CAP-2.7,registry.parent,CAP-2
CAP-2.8,uafId,CAP-2.8
CAP-2.8,uafKind,Capability
CAP-2.8,registry.parent,CAP-2
CAP-2.8,registry.coverage,verification-table
CAP-2.9,uafId,CAP-2.9
CAP-2.9,uafKind,Capability
CAP-2.9,registry.parent,CAP-2
CAP-2.9,registry.coverage,verification-table
CAP-2.10,uafId,CAP-2.10
CAP-2.10,uafKind,Capability
CAP-2.10,registry.parent,CAP-2
CAP-2.10,registry.coverage,verification-table
