rel_id,key,value
REL:exhibits:OP-30->CAP-1.1,uafRelationship,exhibits
REL:exhibits:OP-30->CAP-1.2,uafRelationship,exhibits
REL:exhibits:OP-30->CAP-1.3,uafRelationship,exhibits
REL:exhibits:OP-30->CAP-1.4,uafRelationship,exhibits
REL:exhibits:OP-30->CAP-1.5,uafRelationship,exhibits
REL:exhibits:OP-30->CAP-1.6,uafRelationship,exhibits
REL:exhibits:OP-30->CAP-1.7,uafRelationship,exhibits
REL:exhibits:OP-30->CAP-2.1,uafRelationship,exhibits
REL:exhibits:OP-30->CAP-2.2,uafRelationship,exhibits
REL:exhibits:OP-30->CAP-2.3,uafRelationship,exhibits
REL:exhibits:OP-30->CAP-2.4,uafRelationship,exhibits
REL:exhibits:OP-30->CAP-2.5,uafRelationship,exhibits
REL:exhibits:OP-30->CAP-2.6,uafRelationship,exhibits
REL:exhibits:OP-30->CAP-2.7,uafRelationship,exhibits
REL:exhibits:OP-30->CAP-2.8,uafRelationship,exhibits
REL:exhibits:OP-30->CAP-2.9,uafRelationship,exhibits
REL:exhibits:OP-30->CAP-2.10,uafRelationship,exhibits
REL:exhibits:OP-30->CAP-2.11,uafRelationship,exhibits
REL:exhibits:OP-30->CAP-2.12,uafRelationship,exhibits
REL:exhibits:OP-30->CAP-3.1,uafRelationship,exhibits
REL:exhibits:OP-30->CAP-3.2,uafRelationship,exhibits
REL:exhibits:OP-30->CAP-3.3,uafRelationship,exhibits
REL:exhibits:OP-30->CAP-3.4,uafRelationship,exhibits
REL:exhibits:OP-30->CAP-3.5,uafRelationship,exhibits
REL:exhibits:OP-30->CAP-3.6,uafRelationship,exhibits
REL:exhibits:OP-30->CAP-3.7,uafRelationship,exhibits
REL:exhibits:OP-30->CAP-3.8,uafRelationship,exhibits
REL:exhibits:OP-30->CAP-3.9,uafRelationship,exhibits
REL:exhibits:OP-30->CAP-4.1,uafRelationship,exhibits
REL:exhibits:OP-30->CAP-4.2,uafRelationship,exhibits
REL:exhibits:OP-30->CAP-4.3,uafRelationship,exhibits
REL:exhibits:OP-30->CAP-4.4,uafRelationship,exhibits
REL:exhibits:OP-30->CAP-4.5,uafRelationship,exhibits
REL:exhibits:OP-30->CAP-4.6,uafRelationship,exhibits
REL:exhibits:OP-30->CAP-4.7,uafRelationship,exhibits
REL:exhibits:OP-30->CAP-5.1,uafRelationship,exhibits
REL:exhibits:OP-30->CAP-5.2,uafRelationship,exhibits
REL:exhibits:OP-30->CAP-5.3,uafRelationship,exhibits
REL:exhibits:OP-30->CAP-5.4,uafRelationship,exhibits
REL:exhibits:OP-30->CAP-5.5,uafRelationship,exhibits
REL:exhibits:OP-30->CAP-5.6,uafRelationship,exhibits
REL:exhibits:OP-30->CAP-5.7,uafRelationship,exhibits
REL:exhibits:OP-30->CAP-5.8,uafRelationship,exhibits
REL:exhibits:OP-30->CAP-5.9,uafRelationship,exhibits
REL:exhibits:OP-30->CAP-5.10,uafRelationship,exhibits
REL:exhibits:OP-30->CAP-6.1,uafRelationship,exhibits
REL:exhibits:OP-30->CAP-6.2,uafRelationship,exhibits
REL:exhibits:OP-30->CAP-6.3,uafRelationship,exhibits
REL:exhibits:OP-30->CAP-6.4,uafRelationship,exhibits
REL:exhibits:OP-30->CAP-6.5,uafRelationship,exhibits
REL:exhibits:OP-30->CAP-6.6,uafRelationship,exhibits
REL:exhibits:OP-30->CAP-6.7,uafRelationship,exhibits
REL:exhibits:OP-30->CAP-7.1,uafRelationship,exhibits
REL:exhibits:OP-30->CAP-7.2,uafRelationship,exhibits
REL:exhibits:OP-30->CAP-7.3,uafRelationship,exhibits
REL:exhibits:OP-30->CAP-7.4,uafRelationship,exhibits
REL:exhibits:OP-01->CAP-2.6,uafRelationship,exhibits
REL:exhibits:OP-01->CAP-3.6,uafRelationship,exhibits
REL:exhibits:OP-01->CAP-4.1,uafRelationship,exhibits
REL:exhibits:OP-01->CAP-4.2,uafRelationship,exhibits
REL:exhibits:OP-01->CAP-5.9,uafRelationship,exhibits
REL:exhibits:OP-02->CAP-3.6,uafRelationship,exhibits
REL:exhibits:OP-02->CAP-3.7,uafRelationship,exhibits
REL:exhibits:OP-02->CAP-4.2,uafRelationship,exhibits
REL:exhibits:OP-02->CAP-5.4,uafRelationship,exhibits
REL:exhibits:OP-02->CAP-5.5,uafRelationship,exhibits
REL:exhibits:OP-02->CAP-5.6,uafRelationship,exhibits
REL:exhibits:OP-02->CAP-5.9,uafRelationship,exhibits
REL:exhibits:OP-03->CAP-5.2,uafRelationship,exhibits
REL:exhibits:OP-03->CAP-5.3,uafRelationship,exhibits
REL:exhibits:OP-03->CAP-5.7,uafRelationship,exhibits
REL:exhibits:OP-03->CAP-5.9,uafRelationship,exhibits
REL:exhibits:OP-04->CAP-1.3,uafRelationship,exhibits
REL:exhibits:OP-04->CAP-1.4,uafRelationship,exhibits
REL:exhibits:OP-04->CAP-3.9,uafRelationship,exhibits
REL:exhibits:OP-04->CAP-5.9,uafRelationship,exhibits
REL:exhibits:OP-05->CAP-5.6,uafRelationship,exhibits
REL:exhibits:OP-05->CAP-6.1,uafRelationship,exhibits
REL:exhibits:OP-05->CAP-6.2,uafRelationship,exhibits
REL:exhibits:OP-05->CAP-6.3,uafRelationship,exhibits
REL:exhibits:OP-05->CAP-6.5,uafRelationship,exhibits
REL:exhibits:OP-05->CAP-7.3,uafRelationship,exhibits
REL:exhibits:OP-06->CAP-1.3,uafRelationship,exhibits
REL:exhibits:OP-06->CAP-2.6,uafRelationship,exhibits
REL:exhibits:OP-06->CAP-2.7,uafRelationship,exhibits
REL:exhibits:OP-06->CAP-2.12,uafRelationship,exhibits
REL:exhibits:OP-06->CAP-6.6,uafRelationship,exhibits
REL:exhibits:OP-06->CAP-7.4,uafRelationship,exhibits
REL:exhibits:OP-06->CAP-5.9,uafRelationship,exhibits
REL:exhibits:OP-07->CAP-1.4,uafRelationship,exhibits
REL:exhibits:OP-07->CAP-3.1,uafRelationship,exhibits
REL:exhibits:OP-07->CAP-5.2,uafRelationship,exhibits
REL:exhibits:OP-07->CAP-5.6,uafRelationship,exhibits
REL:exhibits:OP-07->CAP-5.9,uafRelationship,exhibits
REL:exhibits:OP-08->CAP-3.1,uafRelationship,exhibits
REL:exhibits:OP-08->CAP-3.6,uafRelationship,exhibits
REL:exhibits:OP-08->CAP-4.2,uafRelationship,exhibits
REL:exhibits:OP-08->CAP-5.6,uafRelationship,exhibits
REL:exhibits:OP-08->CAP-5.9,uafRelationship,exhibits
REL:exhibits:OP-31->CAP-2.10,uafRelationship,exhibits
REL:exhibits:OP-31->CAP-2.11,uafRelationship,exhibits
REL:exhibits:OP-31->CAP-4.1,uafRelationship,exhibits
REL:exhibits:OP-31->CAP-5.4,uafRelationship,exhibits
REL:exhibits:OP-31->CAP-5.9,uafRelationship,exhibits
REL:exhibits:OP-31->CAP-7.3,uafRelationship,exhibits
REL:exhibits:OP-32->CAP-5.1,uafRelationship,exhibits
REL:exhibits:OP-32->CAP-5.4,uafRelationship,exhibits
REL:exhibits:OP-32->CAP-6.1,uafRelationship,exhibits
REL:exhibits:OP-32->CAP-6.4,uafRelationship,exhibits
REL:exhibits:OP-32->CAP-7.1,uafRelationship,exhibits
REL:exhibits:OP-32->CAP-7.3,uafRelationship,exhibits
REL:exhibits:OP-32->CAP-7.4,uafRelationship,exhibits
REL:exhibits:OP-33->CAP-1.1,uafRelationship,exhibits
REL:exhibits:OP-33->CAP-1.7,uafRelationship,exhibits
REL:exhibits:OP-34->CAP-4.4,uafRelationship,exhibits
REL:achieves:OA-01->CAP-1.1,uafRelationship,achieves
REL:achieves:OA-01->CAP-1.2,uafRelationship,achieves
REL:achieves:OA-01->CAP-1.5,uafRelationship,achieves
REL:achieves:OA-01->CAP-6.7,uafRelationship,achieves
REL:achieves:OA-02->CAP-2.1,uafRelationship,achieves
REL:achieves:OA-02->CAP-2.2,uafRelationship,achieves
REL:achieves:OA-02->CAP-2.3,uafRelationship,achieves
REL:achieves:OA-02->CAP-2.4,uafRelationship,achieves
REL:achieves:OA-02->CAP-2.5,uafRelationship,achieves
REL:achieves:OA-03->CAP-2.6,uafRelationship,achieves
REL:achieves:OA-04->CAP-2.8,uafRelationship,achieves
REL:achieves:OA-04->CAP-3.2,uafRelationship,achieves
REL:achieves:OA-05->CAP-3.3,uafRelationship,achieves
REL:achieves:OA-05->CAP-3.4,uafRelationship,achieves
REL:achieves:OA-05->CAP-3.5,uafRelationship,achieves
REL:achieves:OA-06->CAP-3.6,uafRelationship,achieves
REL:achieves:OA-06->CAP-4.3,uafRelationship,achieves
REL:achieves:OA-07->CAP-4.1,uafRelationship,achieves
REL:achieves:OA-07->CAP-4.2,uafRelationship,achieves
REL:achieves:OA-07->CAP-4.3,uafRelationship,achieves
REL:achieves:OA-08->CAP-4.4,uafRelationship,achieves
REL:achieves:OA-09->CAP-4.5,uafRelationship,achieves
REL:achieves:OA-10->CAP-4.6,uafRelationship,achieves
REL:achieves:OA-11->CAP-5.1,uafRelationship,achieves
REL:achieves:OA-11->CAP-5.3,uafRelationship,achieves
REL:achieves:OA-12->CAP-1.3,uafRelationship,achieves
REL:achieves:OA-12->CAP-1.4,uafRelationship,achieves
REL:achieves:OA-12->CAP-2.11,uafRelationship,achieves
REL:achieves:OA-13->CAP-5.5,uafRelationship,achieves
REL:achieves:OA-13->CAP-1.5,uafRelationship,achieves
REL:achieves:OA-14->CAP-3.9,uafRelationship,achieves
REL:achieves:OA-15->CAP-1.6,uafRelationship,achieves
REL:achieves:OA-15->CAP-7.1,uafRelationship,achieves
REL:achieves:OA-15->CAP-7.2,uafRelationship,achieves
REL:achieves:OA-15->CAP-7.4,uafRelationship,achieves
REL:achieves:OA-16->CAP-2.9,uafRelationship,achieves
REL:achieves:OA-17->CAP-1.3,uafRelationship,achieves
REL:achieves:OA-18->CAP-2.6,uafRelationship,achieves
REL:achieves:OA-18->CAP-1.7,uafRelationship,achieves
REL:achieves:OA-19->CAP-2.7,uafRelationship,achieves
REL:achieves:OA-19->CAP-2.12,uafRelationship,achieves
REL:achieves:OA-20->CAP-6.6,uafRelationship,achieves
REL:achieves:OA-20->CAP-7.4,uafRelationship,achieves
REL:achieves:OA-20->CAP-5.8,uafRelationship,achieves
REL:achieves:OA-21->CAP-3.1,uafRelationship,achieves
REL:achieves:OA-22->CAP-1.4,uafRelationship,achieves
REL:achieves:OA-22->CAP-2.10,uafRelationship,achieves
REL:achieves:OA-22->CAP-2.11,uafRelationship,achieves
REL:achieves:OA-23->CAP-3.6,uafRelationship,achieves
REL:achieves:OA-23->CAP-5.6,uafRelationship,achieves
REL:achieves:OA-24->CAP-5.6,uafRelationship,achieves
REL:achieves:OA-25->CAP-5.2,uafRelationship,achieves
REL:achieves:OA-26->CAP-5.3,uafRelationship,achieves
REL:achieves:OA-26->CAP-5.8,uafRelationship,achieves
REL:achieves:OA-27->CAP-5.4,uafRelationship,achieves
REL:achieves:OA-27->CAP-7.3,uafRelationship,achieves
REL:achieves:OA-28->CAP-5.4,uafRelationship,achieves
REL:achieves:OA-29->CAP-5.4,uafRelationship,achieves
REL:achieves:OA-30->CAP-3.8,uafRelationship,achieves
REL:achieves:OA-31->CAP-3.7,uafRelationship,achieves
REL:achieves:OA-32->CAP-4.7,uafRelationship,achieves
REL:achieves:OA-32->CAP-5.8,uafRelationship,achieves
REL:achieves:OA-33->CAP-5.7,uafRelationship,achieves
REL:achieves:OA-34->CAP-6.1,uafRelationship,achieves
REL:achieves:OA-34->CAP-6.2,uafRelationship,achieves
REL:achieves:OA-35->CAP-6.3,uafRelationship,achieves
REL:achieves:OA-36->CAP-1.7,uafRelationship,achieves
REL:achieves:OA-11->CAP-5.10,uafRelationship,achieves
REL:achieves:OA-24->CAP-6.5,uafRelationship,achieves
REL:achieves:OA-15->CAP-6.4,uafRelationship,achieves
REL:achieves:OA-07->CAP-5.9,uafRelationship,achieves
REL:performs:OP-01->OA-03,uafRelationship,performs
REL:performs:OP-01->OA-07,uafRelationship,performs
REL:performs:OP-01->OA-12,uafRelationship,performs
REL:performs:OP-01->OA-16,uafRelationship,performs
REL:performs:OP-01->OA-27,uafRelationship,performs
REL:performs:OP-02->OA-07,uafRelationship,performs
REL:performs:OP-02->OA-13,uafRelationship,performs
REL:performs:OP-02->OA-23,uafRelationship,performs
REL:performs:OP-02->OA-24,uafRelationship,performs
REL:performs:OP-02->OA-29,uafRelationship,performs
REL:performs:OP-02->OA-31,uafRelationship,performs
REL:performs:OP-03->OA-11,uafRelationship,performs
REL:performs:OP-03->OA-25,uafRelationship,performs
REL:performs:OP-03->OA-26,uafRelationship,performs
REL:performs:OP-03->OA-33,uafRelationship,performs
REL:performs:OP-04->OA-12,uafRelationship,performs
REL:performs:OP-04->OA-14,uafRelationship,performs
REL:performs:OP-04->OA-17,uafRelationship,performs
REL:performs:OP-04->OA-22,uafRelationship,performs
REL:performs:OP-05->OA-24,uafRelationship,performs
REL:performs:OP-05->OA-34,uafRelationship,performs
REL:performs:OP-05->OA-35,uafRelationship,performs
REL:performs:OP-06->OA-03,uafRelationship,performs
REL:performs:OP-06->OA-17,uafRelationship,performs
REL:performs:OP-06->OA-18,uafRelationship,performs
REL:performs:OP-06->OA-19,uafRelationship,performs
REL:performs:OP-06->OA-20,uafRelationship,performs
REL:performs:OP-07->OA-21,uafRelationship,performs
REL:performs:OP-07->OA-22,uafRelationship,performs
REL:performs:OP-07->OA-23,uafRelationship,performs
REL:performs:OP-07->OA-25,uafRelationship,performs
REL:performs:OP-08->OA-07,uafRelationship,performs
REL:performs:OP-08->OA-13,uafRelationship,performs
REL:performs:OP-08->OA-21,uafRelationship,performs
REL:performs:OP-08->OA-23,uafRelationship,performs
REL:performs:OP-08->OA-24,uafRelationship,performs
REL:performs:OP-08->OA-26,uafRelationship,performs
REL:performs:OP-20->OA-15,uafRelationship,performs
REL:performs:OP-20->OA-23,uafRelationship,performs
REL:performs:OP-21->OA-15,uafRelationship,performs
REL:performs:OP-22->OA-08,uafRelationship,performs
REL:performs:OP-22->OA-10,uafRelationship,performs
REL:performs:OP-23->OA-12,uafRelationship,performs
REL:performs:OP-24->OA-09,uafRelationship,performs
REL:performs:OP-24->OA-36,uafRelationship,performs
REL:performs:OP-25->OA-09,uafRelationship,performs
REL:performs:OP-25->OA-36,uafRelationship,performs
REL:performs:OP-26->OA-15,uafRelationship,performs
REL:performs:OP-26->OA-20,uafRelationship,performs
REL:performs:OP-30->OA-01,uafRelationship,performs
REL:performs:OP-30->OA-02,uafRelationship,performs
REL:performs:OP-30->OA-03,uafRelationship,performs
REL:performs:OP-30->OA-04,uafRelationship,performs
REL:performs:OP-30->OA-05,uafRelationship,performs
REL:performs:OP-30->OA-06,uafRelationship,performs
REL:performs:OP-30->OA-08,uafRelationship,performs
REL:performs:OP-30->OA-09,uafRelationship,performs
REL:performs:OP-30->OA-10,uafRelationship,performs
REL:performs:OP-30->OA-11,uafRelationship,performs
REL:performs:OP-30->OA-12,uafRelationship,performs
REL:performs:OP-30->OA-13,uafRelationship,performs
REL:performs:OP-30->OA-14,uafRelationship,performs
REL:performs:OP-30->OA-15,uafRelationship,performs
REL:performs:OP-30->OA-16,uafRelationship,performs
REL:performs:OP-30->OA-18,uafRelationship,performs
REL:performs:OP-30->OA-19,uafRelationship,performs
REL:performs:OP-30->OA-20,uafRelationship,performs
REL:performs:OP-30->OA-22,uafRelationship,performs
REL:performs:OP-30->OA-24,uafRelationship,performs
REL:performs:OP-30->OA-25,uafRelationship,performs
REL:performs:OP-30->OA-27,uafRelationship,performs
REL:performs:OP-30->OA-28,uafRelationship,performs
REL:performs:OP-30->OA-30,uafRelationship,performs
REL:performs:OP-30->OA-31,uafRelationship,performs
REL:performs:OP-30->OA-32,uafRelationship,performs
REL:performs:OP-30->OA-33,uafRelationship,performs
REL:performs:OP-30->OA-34,uafRelationship,performs
REL:performs:OP-30->OA-35,uafRelationship,performs
REL:performs:OP-30->OA-36,uafRelationship,performs
REL:realizes:SV-08->OA-01,uafRelationship,realizes
REL:realizes:SV-05->OA-01,uafRelationship,realizes
REL:realizes:SV-05->OA-13,uafRelationship,realizes
REL:realizes:SV-10->OA-01,uafRelationship,realizes
REL:realizes:SV-10->OA-15,uafRelationship,realizes
REL:realizes:SV-10->OA-36,uafRelationship,realizes
REL:realizes:SV-01->OA-02,uafRelationship,realizes
REL:realizes:SV-12->OA-03,uafRelationship,realizes
REL:realizes:SV-12->OA-18,uafRelationship,realizes
REL:realizes:SV-11->OA-19,uafRelationship,realizes
REL:realizes:SV-17->OA-04,uafRelationship,realizes
REL:realizes:SV-02->OA-05,uafRelationship,realizes
REL:realizes:SV-02->OA-30,uafRelationship,realizes
REL:realizes:SV-18->OA-05,uafRelationship,realizes
REL:realizes:SV-18->OA-14,uafRelationship,realizes
REL:realizes:SV-18->OA-25,uafRelationship,realizes
REL:realizes:SV-15->OA-06,uafRelationship,realizes
REL:realizes:SV-15->OA-23,uafRelationship,realizes
REL:realizes:SV-16->OA-07,uafRelationship,realizes
REL:realizes:SV-16->OA-31,uafRelationship,realizes
REL:realizes:SV-23->OA-08,uafRelationship,realizes
REL:realizes:SV-23->OA-08,status,planned
REL:realizes:SV-23->OA-09,uafRelationship,realizes
REL:realizes:SV-23->OA-09,status,planned
REL:realizes:SV-23->OA-15,uafRelationship,realizes
REL:realizes:SV-23->OA-15,status,planned
REL:realizes:SV-23->OA-20,uafRelationship,realizes
REL:realizes:SV-23->OA-20,status,planned
REL:realizes:SV-27->OA-09,uafRelationship,realizes
REL:realizes:SV-27->OA-13,uafRelationship,realizes
REL:realizes:SV-27->OA-16,uafRelationship,realizes
REL:realizes:SV-27->OA-17,uafRelationship,realizes
REL:realizes:SV-24->OA-13,uafRelationship,realizes
