rel_id,kind,stereotype,from_id,to_id,name,ea_type
REL:exhibits:OP-30->CAP-1.1,exhibits,Exhibits,OP-30,CAP-1.1,exhibits: OP-30 -> CAP-1.1,Abstraction
REL:exhibits:OP-30->CAP-1.2,exhibits,Exhibits,OP-30,CAP-1.2,exhibits: OP-30 -> CAP-1.2,Abstraction
REL:exhibits:OP-30->CAP-1.3,exhibits,Exhibits,OP-30,CAP-1.3,exhibits: OP-30 -> CAP-1.3,Abstraction
REL:exhibits:OP-30->CAP-1.4,exhibits,Exhibits,OP-30,CAP-1.4,exhibits: OP-30 -> CAP-1.4,Abstraction
REL:exhibits:OP-30->CAP-1.5,exhibits,Exhibits,OP-30,CAP-1.5,exhibits: OP-30 -> CAP-1.5,Abstraction
REL:exhibits:OP-30->CAP-1.6,exhibits,Exhibits,OP-30,CAP-1.6,exhibits: OP-30 -> CAP-1.6,Abstraction
REL:exhibits:OP-30->CAP-1.7,exhibits,Exhibits,OP-30,CAP-1.7,exhibits: OP-30 -> CAP-1.7,Abstraction
REL:exhibits:OP-30->CAP-2.1,exhibits,Exhibits,OP-30,CAP-2.1,exhibits: OP-30 -> CAP-2.1,Abstraction
REL:exhibits:OP-30->CAP-2.2,exhibits,Exhibits,OP-30,CAP-2.2,exhibits: OP-30 -> CAP-2.2,Abstraction
REL:exhibits:OP-30->CAP-2.3,exhibits,Exhibits,OP-30,CAP-2.3,exhibits: OP-30 -> CAP-2.3,Abstraction
REL:exhibits:OP-30->CAP-2.4,exhibits,Exhibits,OP-30,CAP-2.4,exhibits: OP-30 -> CAP-2.4,Abstraction
REL:exhibits:OP-30->CAP-2.5,exhibits,Exhibits,OP-30,CAP-2.5,exhibits: OP-30 -> CAP-2.5,Abstraction
REL:exhibits:OP-30->CAP-2.6,exhibits,Exhibits,OP-30,CAP-2.6,exhibits: OP-30 -> CAP-2.6,Abstraction
REL:exhibits:OP-30->CAP-2.7,exhibits,Exhibits,OP-30,CAP-2.7,exhibits: OP-30 -> CAP-2.7,Abstraction
REL:exhibits:OP-30->CAP-2.8,exhibits,Exhibits,OP-30,CAP-2.8,exhibits: OP-30 -> CAP-2.8,Abstraction
REL:exhibits:OP-30->CAP-2.9,exhibits,Exhibits,OP-30,CAP-2.9,exhibits: OP-30 -> CAP-2.9,Abstraction
REL:exhibits:OP-30->CAP-2.10,exhibits,Exhibits,OP-30,CAP-2.10,exhibits: OP-30 -> CAP-2.10,Abstraction
REL:exhibits:OP-30->CAP-2.11,exhibits,Exhibits,OP-30,CAP-2.11,exhibits: OP-30 -> CAP-2.11,Abstraction
REL:exhibits:OP-30->CAP-2.12,exhibits,Exhibits,OP-30,CAP-2.12,exhibits: OP-30 -> CAP-2.12,Abstraction
REL:exhibits:OP-30->CAP-3.1,exhibits,Exhibits,OP-30,CAP-3.1,exhibits: OP-30 -> CAP-3.1,Abstraction
REL:exhibits:OP-30->CAP-3.2,exhibits,Exhibits,OP-30,CAP-3.2,exhibits: OP-30 -> CAP-3.2,Abstraction
REL:exhibits:OP-30->CAP-3.3,exhibits,Exhibits,OP-30,CAP-3.3,exhibits: OP-30 -> CAP-3.3,Abstraction
REL:exhibits:OP-30->CAP-3.4,exhibits,Exhibits,OP-30,CAP-3.4,exhibits: OP-30 -> CAP-3.4,Abstraction
REL:exhibits:OP-30->CAP-3.5,exhibits,Exhibits,OP-30,CAP-3.5,exhibits: OP-30 -> CAP-3.5,Abstraction
REL:exhibits:OP-30->CAP-3.6,exhibits,Exhibits,OP-30,CAP-3.6,exhibits: OP-30 -> CAP-3.6,Abstraction
REL:exhibits:OP-30->CAP-3.7,exhibits,Exhibits,OP-30,CAP-3.7,exhibits: OP-30 -> CAP-3.7,Abstraction
REL:exhibits:OP-30->CAP-3.8,exhibits,Exhibits,OP-30,CAP-3.8,exhibits: OP-30 -> CAP-3.8,Abstraction
REL:exhibits:OP-30->CAP-3.9,exhibits,Exhibits,OP-30,CAP-3.9,exhibits: OP-30 -> CAP-3.9,Abstraction
REL:exhibits:OP-30->CAP-4.1,exhibits,Exhibits,OP-30,CAP-4.1,exhibits: OP-30 -> CAP-4.1,Abstraction
REL:exhibits:OP-30->CAP-4.2,exhibits,Exhibits,OP-30,CAP-4.2,exhibits: OP-30 -> CAP-4.2,Abstraction
REL:exhibits:OP-30->CAP-4.3,exhibits,Exhibits,OP-30,CAP-4.3,exhibits: OP-30 -> CAP-4.3,Abstraction
REL:exhibits:OP-30->CAP-4.4,exhibits,Exhibits,OP-30,CAP-4.4,exhibits: OP-30 -> CAP-4.4,Abstraction
REL:exhibits:OP-30->CAP-4.5,exhibits,Exhibits,OP-30,CAP-4.5,exhibits: OP-30 -> CAP-4.5,Abstraction
REL:exhibits:OP-30->CAP-4.6,exhibits,Exhibits,OP-30,CAP-4.6,exhibits: OP-30 -> CAP-4.6,Abstraction
REL:exhibits:OP-30->CAP-4.7,exhibits,Exhibits,OP-30,CAP-4.7,exhibits: OP-30 -> CAP-4.7,Abstraction
REL:exhibits:OP-30->CAP-5.1,exhibits,Exhibits,OP-30,CAP-5.1,exhibits: OP-30 -> CAP-5.1,Abstraction
REL:exhibits:OP-30->CAP-5.2,exhibits,Exhibits,OP-30,CAP-5.2,exhibits: OP-30 -> CAP-5.2,Abstraction
REL:exhibits:OP-30->CAP-5.3,exhibits,Exhibits,OP-30,CAP-5.3,exhibits: OP-30 -> CAP-5.3,Abstraction
REL:exhibits:OP-30->CAP-5.4,exhibits,Exhibits,OP-30,CAP-5.4,exhibits: OP-30 -> CAP-5.4,Abstraction
REL:exhibits:OP-30->CAP-5.5,exhibits,Exhibits,OP-30,CAP-5.5,exhibits: OP-30 -> CAP-5.5,Abstraction
REL:exhibits:OP-30->CAP-5.6,exhibits,Exhibits,OP-30,CAP-5.6,exhibits: OP-30 -> CAP-5.6,Abstraction
REL:exhibits:OP-30->CAP-5.7,exhibits,Exhibits,OP-30,CAP-5.7,exhibits: OP-30 -> CAP-5.7,Abstraction
REL:exhibits:OP-30->CAP-5.8,exhibits,Exhibits,OP-30,CAP-5.8,exhibits: OP-30 -> CAP-5.8,Abstraction
REL:exhibits:OP-30->CAP-5.9,exhibits,Exhibits,OP-30,CAP-5.9,exhibits: OP-30 -> CAP-5.9,Abstraction
REL:exhibits:OP-30->CAP-5.10,exhibits,Exhibits,OP-30,CAP-5.10,exhibits: OP-30 -> CAP-5.10,Abstraction
REL:exhibits:OP-30->CAP-6.1,exhibits,Exhibits,OP-30,CAP-6.1,exhibits: OP-30 -> CAP-6.1,Abstraction
REL:exhibits:OP-30->CAP-6.2,exhibits,Exhibits,OP-30,CAP-6.2,exhibits: OP-30 -> CAP-6.2,Abstraction
